Topic,Count,Name,Representation,Representative_Docs
54,728,54_category_hopf_algebra_homotopy,"['category', 'hopf', 'algebra', 'homotopy', 'operad', 'functor', 'module', 'monoidal', 'homology', 'cohomology']","['basic quasi hopf algebra dimension show finite dimensional quasi hopf algebra complex number radical codimension twist equivalent nichols hopf algebra lifting special quasi hopf algebra dimension purpose paper construct new finite dimensional basic quasi hopf algebras dimension parametrize primitive root unity q order radical codimension n generalize construction basic quasi hopf algebra dimension give quasi hopf algebra twist equivalent hopf algebra regard quasi hopf analogs taft hopf algebra construction equivalent construction new finite tensor category simple object form cyclic group order n tensor equivalent representation category hopf algebra later publication plan use construction classify finite tensor category simple object form cyclic group prime order prove h finite dimensional radically grade quasi hopf algebra n prime nontrivial associator free leave module rank free h isomorphic', 'hopf cross module braid monoidal category hopf cross module bialgebra b braid monoidal category c consider braided monoidal equivalence category prove provide b hopf algebra invertible antipode bialgebra projection hopf bimodule bialgebra hopf algebra c find isomorphic category consequence generalization radford majid criterion braid hopf algebra cross product obtain result paper turn fundamental construction bicovariant differential calculi braid hopf algebra', 'finite tensor category start general structure theory necessarily semisimple finite tensor category generalize result semisimple case fusion category obtain recently joint work particular generalize categorical setting hopf quasi hopf algebra freeness theorem nichols zoeller schauenburg respectively categorical version theory distinguished group like element finite dimensional hopf algebra lorenz result degeneracy cartan matrix absence primitive element finite dimensional hopf algebra zero characteristic develop theory module category dual category necessarily semisimple finite tensor category crucial new notion exact module category finally classify indecomposable exact module category simple finite tensor category representation finite group positive characteristic representation finite supergroup representation taft hopf algebra']"
55,723,55_unification_gut_gauge_supersymmetry,"['unification', 'gut', 'gauge', 'supersymmetry', 'supersymmetric', 'break', 'breaking', 'grand', 'yukawa', 'susy']","['supersymmetric grand unification model orbifold symmetry break dimensional supergravity construct supersymmetric susy grand unification gut model dimensional space time gut symmetry break standard model gauge group simple orbifolding pair massless higgs doublet susy standard model naturally obtain background geometry simple compare model scherk schwarz mechanism hope approximate gauge coupling unification present model presence massless higgs multiplet bulk natural anomaly cancellation dimensional space time require hyper multiplet bulk origin higgs doublet origin quark lepton clear', 'grand unification gauge mediate supersymmetry breaking consider constraint gauge mediate supersymmetry breaking model impose requirement grand unification particular demonstrate way reduce number parameter come dynamical supersymmetry break sector approach exploit nonperturbative unification gauge coupling multi messenger model', 'test gauge yukawa unification recently propose framework quantum field theory standard model gauge yukawa interaction arise single gauge interaction high dimension supersymmetry lead unification standard model gauge coupling family yukawa coupling gut scale work detailed study unification current experimental datum find good agreement significant region parameter space similar relation require finite grand unification model study']"
56,722,56_algebra_algebras_banach_product,"['algebra', 'algebras', 'banach', 'product', 'unital', 'cuntz', 'operator', 'hilbert', 'von', 'graph']","['stable rank graph algebras type graph algebra limit arbitrary countable direct graph e possible value stable rank associated cuntz krieger algebra explicit criterion case give characterize graph algebras type graph algebras inductive limit type gauge invariant ideal graph algebra isomorphic graph algebra', 'class limit algebra associate direct graph direct graph define hilbert space family weight shift act space identify natural notion periodicity shift study prove algebra generate shift fix period cuntz krieger toeplitz cuntz krieger type limit determine increase sequence positive integer divide prove isomorphic cuntz pimsner algebra link map show arise factor map derive characterization simplicity compute algebra prove classification theorem class algebra generate simple loop graph', 'boundary operator algebra free uniform tree lattice let finite connect graph vertex degree fundamental group free group act universal cover tree boundary endow natural topology borel measure crossed product depend rank cuntz krieger algebra structure explicitly determine crossed product von neumann algebra possess rigidity homogeneous degree von neumann algebra hyperfinite factor type bipartite']"
57,704,57_gravitational_lisa_wave_interferometer,"['gravitational', 'lisa', 'wave', 'interferometer', 'detector', 'ligo', 'signal', 'noise', 'interferometric', 'binary']","['detect stochastic background gravitational radiation signal processing strategy sensitivity analyze signal processing require optimal detection stochastic background gravitational radiation laser interferometric detector start basic assumption statistical property stochastic gravity wave background derive expression optimal filter function signal noise ratio cross correlation output gravity wave detector sensitivity level require detection calculate issue relate calculate signal noise ratio arbitrarily large stochastic background ii perform data analysis presence nonstationary detector noise iii combine datum multiple detector pair increase sensitivity stochastic background search iv correlate output detector v allow possibility correlate noise output detector discuss briefly describe computer simulation mimic generation detection simulated stochastic gravity wave signal presence simulated detector noise numerous graph table numerical datum major interferometer ligo wa ligo la virgo give treatment give paper accessible theorist involve datum analysis experimentalist involve detector design datum acquisition', 'gravitational wave article review current effort plan gravitational wave detection gravitational wave source detect information detector extract observed wave special attention pay ligo virgo network earth base kilometer scale laser interferometer construction operate high frequency band hz ii propose million kilometer long laser interferometer space antenna lisa fly heliocentric orbit operate low frequency band hz lisa extend ligo virgo study stellar mass black hole domain massive black hole inhabit galactic nucleus quasar', 'map gravitational wave background gravitational wave sky expect isolate bright source superimpose diffuse gravitational wave background background radiation component confusion limited background unresolved astrophysical source cosmological component form birth universe map gravitational wave background sweep gravitational wave detector sky detector output complicated convolution sky luminosity distribution detector response function scan pattern study general de convolution problem ligo laser interferometric gravitational observatory lisa laser interferometer space antenna detect anisotropy gravitational wave background']"
58,697,58_operator_eigenvalue_boundary_problem,"['operator', 'eigenvalue', 'boundary', 'problem', 'dirichlet', 'equation', 'prove', 'asymptotic', 'condition', 'potential']","['heat kernel approach quantum field theory short overview effective action approach quantum field theory quantum gravity describe method calculation asymptotic expansion heat kernel second order elliptic partial differential operator act section vector bundle compact riemannian manifold consider laplace type operator non laplace type operator manifold boundary laplace type operator manifold boundary oblique non smooth boundary condition', 'uniform bound eigenfunction laplacian manifold boundary let eigenfunction laplacian compact manifold boundary dirichlet neumann boundary condition let correspond eigenvalue consider problem estimate maximum term large assume prove optimal proof simplify argument problem order article accessible non specialist review wave equation method standard asymptotic eigenvalue problem discuss special case handle direct method', 'heat asymptotic spectral boundary condition let operator dirac type compact riemannian manifold smooth boundary impose spectral boundary condition study asymptotic heat trace associate operator laplace type']"
59,692,59_detector_calorimeter_chamber_pixel,"['detector', 'calorimeter', 'chamber', 'pixel', 'muon', 'collider', 'readout', 'silicon', 'performance', 'resolution']","['design commissioning performance pibeta detector psi describe design construction performance pibeta detector build precise measurement branching ratio pion beta decay nu paul scherrer institute central detector module spherical pure csi calorimeter cover sr solid angle calorimeter supplement active collimator beam degrader system active segment plastic target pair low mass cylindrical wire chamber element cylindrical plastic scintillator hodoscope detector system house inside temperature control lead brick enclosure turn line cosmic muon plastic veto counter commission calibration datum take month beam period stop rate examine timing energy angular detector resolution photon positron proton energy range mev response detector cosmic muon illustrate detector signature assorted rare pion muon decay associate background', 'new scintillator tile fiber preshower detector cdf central calorimeter detector design measure early particle shower instal central cdf calorimeter tevatron new preshower detector base scintillator tile couple wavelength shift fiber read multi anode photomultiplier total readout channel replacement old gas detector require expect increase instantaneous luminosity tevatron collider year calorimeter coverage jet energy resolution electron photon identification expect improvement final detector design study lead choice scintillator fiber mechanical assembly quality control present detector instal fall tevatron shutdown start collect collide beam datum end year measurement indicate light yield photoelectron mip fold increase design goal', 'hybrid pixel detector development linear collider vertex detector order fully exploit physics potential future linear collider vertex detector provide high resolution track reconstruction require hybrid silicon pixel detector attractive option sensor technology read speed radiation hardness far limit achievable single point resolution novel layout hybrid pixel sensor interleaved cell improve spatial resolution develop characterisation process prototype report']"
60,688,60_jet_dijet_hera_qcd,"['jet', 'dijet', 'hera', 'qcd', 'event', 'section', 'parton', 'cross', 'production', 'inclusive']","['jet physics hera measurement inclusive jet dijet cross section photoproduction deep inelastic scattering present measurement provide new test qcd constrain parton density proton photon allow search new physic measurement jet shape report test difference quark gluon jet', 'substructure dependence jet cross section hera determination alpha jet substructure differential cross section jet produce photoproduction deep inelastic ep scatter regime measure zeus detector hera integrated luminosity substructure jet study term jet shape subjet multiplicity jet transverse energy gev datum describe qcd calculation jet shape subjet multiplicity tag quark initiate jet jet cross section function jet pseudorapidity jet jet scatter angle dijet invariant mass fraction photon energy carry dijet system present quark tag jet datum exhibit behaviour expect underlie parton dynamic value exp th extract measurement jet shape deep inelastic scattering', 'jet production deep inelastic scattering hera jet production study time deep inelastic positron proton scattering measurement carry detector hera cover large range momentum transfer square invariant jet mass gev jet define inclusive algorithm breit frame size jet cross section ratio jet dijet cross section describe phase space prediction perturbative qcd lead order shape angular jet distribution deviate significantly uniform population available phase space describe qcd calculation']"
61,687,61_renormalization_expansion_theory_loop,"['renormalization', 'expansion', 'theory', 'loop', 'effective', 'perturbative', 'critical', 'scalar', 'approximation', 'finite']","['renormalization group approach field theory finite temperature scalar field theory finite temperature investigate improve renormalization group prescription provide effective resummation possible non overlapping high loop graph explicit analysis lambda theory perform euclidean space low high temperature limit generate set couple equation mass parameter coupling constant renormalization group flow equation dimensional reduction symmetry restoration explore improved approach', 'renormalization group flow equation scalar theory self consistent new renormalization group flow equation scalar theory approximate lead order derivative expansion wilson fisher fix point dimension analyze detail critical exponent calculate', 'effective critical exponent finite temperature renormalization group effective critical exponent scalar field theory calculate function renormalization group block size inverse critical temperature exact renormalization group equation present order derivative expansion numerical solution obtain polynomial expansion block potential finite temperature system d dimension show determine d dimensional fix point govern phase transition validity polynomial expansion block potential near criticality address']"
62,687,62_superconducte_film_tc_mg,"['superconducte', 'film', 'tc', 'mg', 'superconductivity', 'gap', 'jc', 'diboride', 'superconductor', 'phonon']","['single crystal anisotropic superconducte property discovery superconductor magnesium diboride high tc k raise challenging issue new superconductor resemble high temperature cuprate low temperature metallic superconductor superconducte mechanism mediate bcs hole superconducte mechanism new exotic mechanism account superconductivity future application order clarify question experiment single crystal sample urgently require succeed obtain single crystal new superconductivity perform electrical resistance magnetization measurement experiment electronic magnetic property depend crystallographic direction result indicate single crystal superconductor show anisotropic superconducte property provide scientific basis research superconducte mechanism application', 'anisotropic superconductivity epitaxial film high quality epitaxial thin film prepare pulse laser deposition tc k offer opportunity study anisotropy robustness superconducte state magnetic field measure plane electrical resistivity film magnetic field t estimate superconducte upper critical field t field orient c axis t field plane film find zero temperature coherence length short calculate electronic mean free path l place film clean limit observation large upper critical field clean limit sample couple relatively small anisotropy provide strong evidence viability technologically important superconductor', 'review superconducte property review paper illustrate main normal superconducte state property magnesium diboride material know early recently discover superconductive remarkably high critical temperature binary compound make special high tc simple crystal structure large coherence length high critical current density field transparency grain boundary current promise good material large scale application electronic device seven month fabricate form bulk single crystal thin film tape wire large critical current density critical field t achieve thin film anisotropy ratio infer upper critical field measurement resolve wide range value report consensus existence single anisotropic double energy gap central issue represent new class superconductor tip iceberg await discover date hold record high tc class discovery superconductivity revive interest non oxide initiate search superconductivity relate material compound announce superconductive c s composite elemental b pressure']"
63,683,63_teleportation_photon_entanglement_entangle,"['teleportation', 'photon', 'entanglement', 'entangle', 'state', 'entangled', 'quantum', 'parametric', 'fidelity', 'scheme']","['quantum teleportation particle entanglement investigate teleportation quantum state particle entangle w state compare contrast result particle entangle ghz state effect white noise average teleportation fidelity study', 'continuous variable teleportation single photon state property continuous variable teleportation single photon state investigate output state different input state non maximal entanglement epr beam photon statistic teleportation output determined correlation field information beta obtain teleportation process change photon number discuss result output photon statistic apply transmission qbit encode polarization single photon', 'total teleportation entangled state present setup direct total teleportation single particle entangle state scheme consist parametric conversion source emit pair entangled photon dual bell measurement system beam splitter pair detector entangled state share pair beam directly transfer pair beam probability success straightforward generalization scheme total teleportation multi particle entangle state perform']"
64,679,64_shower_cosmic_air_ray,"['shower', 'cosmic', 'air', 'ray', 'ev', 'ultra', 'energy', 'primary', 'uhecr', 'knee']","['comment origin high energy cosmic ray photodisintegration heavy cosmic ray nucleus energy ev dominate interaction photon cosmic microwave background radiation infrared one imply observe air shower event energy ev originate fe nucleus come distance mpc', 'cosmic ray energy range knee recent result kascade brief motivation study cosmic ray energy e ev give astrophysical interest identify understand source particle physics aspect relate transport property galaxy detection extensive air shower kascade air shower experiment take datum forschungszentrum karlsruhe germany provide important information topic particle astrophysic research target particular interest call knee cosmic ray energy spectrum x ev recent result add knowledge understanding origin present result test high energy hadronic interaction model require air shower simulation', 'extensive air shower simulation high energy air shower simulation program essential tool analysis datum cosmic ray experiment plan layout new detector estimate energy mass primary particle unfortunately model uncertainty translate directly systematic error energy mass determination aim energy ev model extrapolate far energy available accelerator hand hybrid measurement ground particle density calorimetric shower energy provide pierre auger observatory strongly constrain shower model main uncertainty contemporary model come poor knowledge soft hadronic interaction high energy electromagnetic interaction low energy hadronic interaction particle transport influence detail shower development review physics process computational technique air shower model presently high energy discuss property limitation model']"
65,653,65_entanglement_state_bipartite_separability,"['entanglement', 'state', 'bipartite', 'separability', 'pure', 'mixed', 'entangle', 'multipartite', 'entangled', 'separable']","['continuity bound entanglement note quantify continuity property entanglement entanglement vary change entangle quantum state little question study pure state entanglement bipartite system entanglement formation bipartite system mixed state', 'entanglement formation arbitrary state qubit entanglement pure state pair quantum system define entropy member pair entanglement formation mixed state define minimum average entanglement ensemble pure state represent give mixed state early paper phy rev lett conjecture explicit formula entanglement formation pair binary quantum object qubit function density matrix prove formula true special class mixed state present paper extend proof arbitrary state system show construct entanglement minimize pure state decomposition', 'connection relative entropy entanglement geometric measure entanglement important entanglement measure entanglement formation entanglement distillation far limit bipartite setting study entanglement measure multipartite system appear necessary connection entanglement measure relative entropy entanglement geometric measure entanglement investigate find arbitrary pure state give rise lower bind certain pure state bipartite multipartite lower bind saturate relative entropy entanglement find analytically term know geometric measure entanglement certain mixed state upper bound relative entropy entanglement establish numerical evidence strongly suggest upper bound tight actually relative entropy entanglement']"
66,650,66_lyman_alpha_absorber_absorption,"['lyman', 'alpha', 'absorber', 'absorption', 'forest', 'redshift', 'ly', 'qso', 'line', 'dla']","['sharp hi edge high z gas distribution damped lyman alpha lyman limit absorption system derive distribution neutral ionized gas high redshift cloud optically thick hydrogen ionizing radiation publish datum lyman limit damp lyman alpha absorption system redshift range z assume distribution hydrogen total column density absorber follow power law k observe hi column density distribution deviate pure power law result ionization background radiation field comparison model observation maximum likelihood solution exponent alpha x value lyman limit optical depth unity x low obtain gaseous distribution equilibrium gravity ratio dark matter gas density constrain extrapolation derive power law distribution system low column density lyman alpha forest favour model alpha appreciably large lyman limit system contain gas damp lyman alpha system lyman alpha forest cloud estimate cosmological gas dark matter density absorber different column density give', 'gaseous extent galaxy origin lyman alpha absorption system iv lyman alpha absorber arise galaxy group present new ghrs observation lyman alpha absorption line associate group galaxy qso identify distinct lyman alpha absorption feature spectrum qso mean redshift velocity dispersion km group galaxy detect vicinity qso mean redshift velocity dispersion km identification discrete absorption system indicate arise cloud neutral hydrogen diffuse intragroup medium analysis suggest lyman alpha absorption line associate individual galaxy group relationship absorber galaxy difficult establish dense environment', 'apm qso survey spectra intervene absorption system apm multicolor survey bright z object cover sky result discovery thirty quasar z high signal noise optical spectrophotometry resolution obtain quasar easily accessible northern hemisphere spectra survey create new sample high redshift lyman limit system damp lyman alpha absorber metal absorption system civ mgii paper present spectra line list detect absorption system qsos display wide variety emission absorption line characteristic exhibit broad absorption line extremely strong emission line candidate damp ly alpha absorption system identify cover redshift range analysis measured redshift high ionization emission line low ionization line show blueshifte km previous paper storrie lombardi et al discuss redshift evolution lyman limit system catalogue subsequent paper discuss property ly alpha forest absorber redshift column density evolution damp ly alpha absorber']"
67,648,67_nanotube_carbon_tube_walled,"['nanotube', 'carbon', 'tube', 'walled', 'swnt', 'graphite', 'metallic', 'wall', 'electronic', 'single']","['schottky barrier metal finite semiconducte carbon nanotube interface electronic property metal finite semiconducte carbon nanotube interface study function nanotube length self consistent tight bind theory find shape potential barrier depend long range tail charge transfer lead injection barrier thickness comparable half nanotube length nanotube reach bulk limit conductance nanotube junction show transition tunneling thermally activate transport increase nanotube length', 'fermi level alignment metal carbon nanotube interface application scan tunneling spectroscopy metal carbon nanotube interface charge transfer induced interfacial field determine position carbon nanotube band structure relative metal fermi level case single wall carbon nanotube swnt support gold substrate charge transfer induce local electrostatic potential perturbation give rise observe fermi level shift scan tunneling spectroscopy st measurement discuss relevance study recent experiment carbon nanotube transistor argue fermi level alignment different carbon nanotube transistor low resistance high resistance contact', 'scan probe microscopy electronic transport carbon nanotube use electrostatic force microscopy scan gate microscopy probe conduct property carbon nanotube room temperature multi walled carbon nanotube show diffusive conductor metallic single walled carbon nanotube ballistic conductor micron length semiconducte single walled carbon nanotube show series large barrier conduction length measurement probe contact resistance locate break carbon nanotube circuit']"
68,644,68_synchronization_chaotic_map_noise,"['synchronization', 'chaotic', 'map', 'noise', 'attractor', 'chaos', 'couple', 'oscillator', 'delay', 'lyapunov']","['synchronization resonance drive system couple oscillator study noise effect drive system globally couple oscillator particular attention interplay driving noise self consistency equation order parameter measure collective synchronization system derive find total order parameter decrease monotonically noise indicate overall suppression synchronization large coupling strength exist optimal noise level periodic ac component order parameter reach maximum response phase velocity examine find display resonance behavior', 'analytical numerical study noise induce synchronization chaotic system study effect injection common source noise trajectory chaotic system address contradictory result present literature present particular example d map lorenz system chaotic region numerical evidence show addition common noise different trajectory start different initial condition lead eventually perfect synchronization synchronization occur large lyapunov exponent negative simple map able phenomenon analytically finally analyze structural stability phenomenon', 'synchronization chaotic oscillator common delay time modulation find synchronization behavior identical chaotic delay time modulate common irregular signal phenomenon demonstrate identical chaotic map delay time drive chaotic random signal identical chaotic oscillator delay time drive signal chaotic oscillator analyze phenomenon lyapunov exponent discuss relation generalized']"
69,613,69_photoproduction_reaction_eta_pion,"['photoproduction', 'reaction', 'eta', 'pion', 'resonance', 'threshold', 'nucleon', 'meson', 'production', 'section']","['final state interaction omega photoproduction near threshold vector meson photoproduction electroproduction suggest tool find confirm nucleon resonance order extract reliable information nucleon resonance understand non resonant background indispensable consider final state interaction omega photoproduction background production mechanism intermediate state consider nucleon vector meson nucleon pion channel role final state interaction discuss omega meson photoproduction near threshold', 'relativistic calculation exclusive photoproduction eta meson complex nucleus relativistic model quasifree photoproduction eta meson complex nucleus develop interaction field introduce effective lagrangian contribution nucleon resonance nucleon bear term vector meson exchange diagram include nucleon eta wavefunction solution dirac klein gordon equation respectively final state interaction outgoing particle include optical potential effect interaction cross section photon asymmetry study find large calculation indicate energy near threshold exclusive reaction take place mainly formation resonance comparison non relativistic calculation difference approach cross section photon asymmetry detailed prediction reaction observable exclusive photoproduction', 'photoproduction eta prime meson proton presently available datum reaction analyze term model dominant production mechanism exchange vector meson describe datum photon energy close production threshold introduce resonance contribution establish resonance finally study contribution nucleon exchange photoproduction find contribution see large angle differential cross section']"
70,603,70_neutralino_chargino_slepton_parity,"['neutralino', 'chargino', 'slepton', 'parity', 'collider', 'lepton', 'supersymmetric', 'susy', 'production', 'decay']","['signal r parity violate supersymmetry gev collider investigate production chargino neutralino gev collider nlc study decay light neutralino decay multi fermion final state coupling conserve r parity coupling assume affect decay light neutralino detailed analysis possible signal background perform select point parameter space', 'mssm susy search status susy search centre mass energy gev present search strategy slepton squark chargino neutralino discuss framework minimal supersymmetric standard model r parity conservation indication production particle new limit set mass', 'search chargino neutralino production gev lep search chargino neutralino predict supersymmetric theory perform data sample centre mass energy gev opal detector lep evidence particle find result combine previous opal chargino neutralino search low energy obtain limit exclusion region parameter minimal supersymmetric standard model determine framework low mass limit place light chargino light neutralino low mass limit light chargino assume heavy light neutralino gev gev case large universal scalar mass tev gev small compatible current limit sneutrino slepton mass low limit light neutralino mass gev tev gev minimum scenario mass limit high increase value interpretation limit term gluino scalar quark mass limit give']"
71,599,71_dwarf_nova_outburst_period,"['dwarf', 'nova', 'outburst', 'period', 'white', 'cataclysmic', 'eclipse', 'accretion', 'superhump', 'uma']","['recurrent nova u scorpii outburst detection significant orbital period change paper present discuss time resolve photometry eclipse recurrent nova u sco outburst conduct immediately optical maximum final fading quiescence complete light curve primary secondary eclipse binary system detect timing minima determine find eclipse show totality outburst depth primary eclipse mag shallow quiescence plateau phase little irradiation mag observe orbital light curve imply existence large flaring rim accretion disk outburst minima eclipse detect early orbital phase predict ephemeris obtain orbital period change binary system x o assume period change result conservative mass transfer component star mass transfer rate reach x white dwarf mass donor companion high cause shell flash massive white dwarf large rate period change strongly indicate non conservative mass transfer binary system', 'detection white dwarf secondary star new su uma dwarf nova hs report discovery new non eclipse su uma type dwarf nova hs photometry obtain quiescence v reveal double humped light curve derive orbital period min additional photometry obtain superoutburst reach v clearly show superhump period min optical spectrum contain double peaked balmer hei emission line accretion disc broad absorption trough hbeta hgamma hdelta white dwarf primary star modelling optical spectrum imply white dwarf temperature k twd k distance pc d pc suggest spectral type donor star later phase resolve spectroscopy obtain quiescence reveal narrow halpha emission line component radial velocity amplitude phase consistent origin secondary star possibly irradiated hemisphere face white dwarf constitute detection line emission secondary star quiescent su uma star', 'occurrence dwarf nova outburst post novae irradiation accretion disc white dwarf limit occurrence dwarf nova outburst post nova accretion disc nova explosion white dwarf cool yr depend orbital period disc size temperature white dwarf nova eruption disc begin produce dwarf nova outburst time inner disc maintain hot ionised state calculation interpret long term photometric variability post nova nova show today regular dwarf nova outburst white dwarf continue cool yr predict increase amplitude outburst decrease outburst frequency decrease irradiation accretion disc allow increase annular extent accretion disc participate limit cycle oscillation']"
72,591,72_kondo_impurity_anderson_fermi,"['kondo', 'impurity', 'anderson', 'fermi', 'liquid', 'conduction', 'spin', 'temperature', 'channel', 'lattice']","['spin orbit induce kondo size effect thin film spin impurity recently spin impurity different size dependence kondo contribution resistivity find experimentally previous calculation effect spin orbit induce magnetic anisotropy kondo amplitude resistivity extend case impurity spin differ integer spin case ground state degenerate case kondo contribution remain finite sample size go zero thickness dependence kondo resistivity weak behavior kondo coefficient function thickness depend kondo temperature somewhat strong large compare result recent experiment thin film find good agreement', 'spectral property dimensional channel kondo lattice model study energy spectrum dimensional kondo lattice localized magnetic moment symmetry channel conduction electron present half filling system show exist phase dominate rkky exchange interaction effect kondo screening quantum phase transition point separate regime temperature t kondo dominate phase show possess soft mode spectral gap small kondo temperature', 'anomalous magnetic splitting kondo resonance splitting kondo resonance density state anderson impurity finite magnetic field calculate exact bethe ansatz solution result give estimate electron spectral function nonzero magnetic field kondo temperature consequence transport experiment quantum dot kondo regime strong correlation kondo ground state cause significant low temperature reduction peak splitting explicit formulae find shift broadening kondo peak likely cause problem large n approach impurity finite magnetic field suggest']"
73,587,73_casimir_force_plate_vacuum,"['casimir', 'force', 'plate', 'vacuum', 'mirror', 'dielectric', 'energy', 'boundary', 'effect', 'field']","['long range magnetic interaction casimir effect zero point quantum fluctuation electromagnetic field vacuum know rise long range attractive force metal plate casimir effect ferromagnetic layer separate vacuum show interplay casimir effect magneto optical kerr effect give rise long range magnetic interaction casimir magnetic force find decay limit short distance limit long distance explicit expression realistic system give large small distance limit experimental test casimir magnetic interaction propose', 'sign polarized magnetic version casimir force consider version casimir effect force control change angle casimir plate temperature nearby ring present simple argument sign casimir force', 'new development casimir effect provide review new experimental theoretical development casimir effect casimir effect result alteration boundary zero point electromagnetic energy unique casimir force strong dependence shape switch attractive repulsive function size geometry topology boundary casimir force direct manifestation boundary dependence quantum vacuum discuss depth general structure infinity field theory remove combination zeta functional regularization heat kernel expansion different representation regularized vacuum energy give casimir energy force number configuration interest application calculate stress development casimir force real medium include effect nonzero temperature finite conductivity boundary metal surface roughness combined effect important factor investigate detail basis condense matter physics quantum field theory nonzero temperature experiment measure casimir force review start old measurement finish detailed presentation modern precision experiment accurately compare theoretical result real medium end review provide recent constraint correction newtonian gravitational law hypothetical long range interaction submillimeter range obtain casimir force measurement']"
74,583,74_blazar_gamma_bl_tev,"['blazar', 'gamma', 'bl', 'tev', 'ray', 'lac', 'cherenkov', 'synchrotron', 'telescope', 'variability']","['soft x ray spectra gamma loud blazar rosat observation large sample bright gamma ray e mev blazar present result detailed spectral analysis soft kev energy range discuss relation overall energy distribution particular emphasis relation x ray gamma ray property significant anti correlation x ray gamma ray spectral shape flat radio spectrum quasar fsrq bl lac discover different shape overall energy distribution radio gamma ray energy fsrq bl lac imply correlation broad band spectral index correlation explain ir uv emission hard x ray gamma ray emission originate electron population respectively synchrotron process inverse compton mechanism suggest key parameter understand overall energy distribution class object energy synchrotron emission peak representation', 'bepposax observation unprecedented synchrotron activity bl lac object mkn bl lac object mkn extragalactic source mkn far detect tev energy observe bepposax satellite april phase high activity tev energy monitor whipple hegra cat cherenkov telescope kev range spectrum exceptionally hard alpha indicate x ray power output peak kev represent shift order magnitude respect previous observation mkn behavior see blazar overall x ray spectrum harden increase intensity epoch soft large energy correlate variability soft x ray tev band point model population relativistic electron produce x ray continuum synchrotron radiation tev emission inverse compton scattering synchrotron photon seed photon time blazar synchrotron power observe peak hard x ray energy large shift synchrotron peak frequency respect previous observation mkn imply intrinsic change relativistic electron spectrum cause increase emitted power high electron energy inverse compton process limit klein nishina regime imply quasi linear oppose quadratic relation variability amplitude tev hard x ray range ssc model increase inverse compton peak frequency small synchrotron peak frequency', 'detection tev gamma ray bl lac low state major outburst tev gamma ray bl lac object measure year significance sigma value crab flux strong outburst sigma flux level crab make tev blazar good event statistic deep observation h perform hegra stereoscopic system image atmospheric cherenkov telescope iact system locate redshift z provide intermediate distance nearby blazar mkn mkn distant object make important member class tev blazar view absorption tev photon diffuse extragalactic background radiation debra differential energy spectrum flare fit power law spectral index power law exponential cut tev spectral index low state differential energy spectrum obtain low statistic describe pure power law spectral index']"
75,581,75_cmb_microwave_map_sky,"['cmb', 'microwave', 'map', 'sky', 'anisotropy', 'foreground', 'cosmic', 'power', 'gaussianity', 'background']","['effect foreground contamination cosmic microwave background anisotropy measure map study effect diffuse galactic far infrare extragalactic source radio point source emission cosmic microwave background cmb anisotropy datum anticipate map experiment focus correlation function genus statistic measure mock map foreground contaminate cmb anisotropy map generate spatially flat cosmological constant dominate cosmological model analysis simulated map datum ghz deg fwhm resolution smooth foreground effect correlation function small compare cosmic variance galactic emission region deg significantly affect topology cmb anisotropy cause negative genus shift non gaussianity signal give expect level cosmic variance effect effectively reduce subtract exist galactic foreground emission model observed datum ira dirbe far infrare extragalactic source little effect cmb anisotropy radio point source raise amplitude correlation function considerably scale deg removal bright radio source detection limit effectively eliminate effect radio source result positive genus curve asymmetry significant deg scale accurate radio point source datum essential unambiguous detection cmb anisotropy non gaussianity scale non gaussianity cosmological origin detect foreground subtract cmb anisotropy map level measured genus shift parameter measured genus asymmetry parameter deg fwhm scale', 'determine cosmic microwave background structure peak distribution present new method time efficient accurate extraction power spectrum future cosmic microwave background cmb map base property peak trough gaussian cmb sky construct statistic describe angular clustering analogously galaxy point angular correlation function increase peak threshold strongly amplify measurable angular scale amplitude scale depend uniquely cmb temperature correlation function measured uniquely invert obtain legendre transform power spectrum cmb field method cmb power spectrum deduce high peak trough cmb field procedure take operation fraction pixel standard deviation map pixel respectively develop theoretical formalism method detailed simulation map mission parameter method allow determine accurately cmb power spectrum upcoming cmb map operation', 'cosmic microwave background observation post planck era microwave anisotropy probe planck mission provide low noise map temperature cosmic microwave background cmb map allow measurement power spectrum cmb measurement noise cosmic variance l anticipate sky cmb temperature observation need planck cmb measurement planck end beginning follow planck precise cmb polarization observation offer potential study physical process energy high gev addition arcminute scale multi frequency observation allow study early phase formation large scale structure universe']"
